country, year, total_exports, eci, neci, Fc, logFc, Xcn, pci_cm, npci_cm, Qp_cm
ago, 1962, 119458000.000000, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
ago, 1963, 141306000.000000, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
ago, 1964, 211286000.000000, -1.317532, -1.226750, -0.404410, -0.878127, 0.071240, 42.008265, 38.163406, 27.373254
ago, 1965, 205093000.000000, -1.217662, -0.917187, -0.399133, -0.683217, 0.095602, 39.262093, 35.062062, 25.305788
ago, 1966, 213455000.000000, -1.170556, -0.927708, -0.419355, -0.666269, 0.097024, 36.493195, 32.839807, 34.472206
ago, 1967, 232105000.000000, -1.038783, -0.864605, -0.447959, -0.640750, 0.099237, 35.519693, 31.024603, 34.299348
ago, 1968, 289357000.000000, -1.233177, -1.225098, -0.451333, -0.978211, 0.107978, 36.134658, 32.552841, 24.391652
ago, 1969, 334202000.000000, -1.223519, -1.249377, -0.447032, -0.874711, 0.103683, 35.210985, 32.106804, 29.112572
ago, 1970, 452899000.000000, -1.208737, -1.358690, -0.477195, -0.863741, 0.096637, 31.295425, 27.990538, 31.604681
ago, 1971, 493426000.000000, -1.327266, -1.320282, -0.483089, -0.953554, 0.102015, 30.674005, 26.362390, 29.803981
ago, 1972, 465097000.000000, -1.281190, -1.255970, -0.479127, -0.802803, 0.112151, 31.754937, 25.753885, 25.550513
ago, 1973, 827349000.000000, -1.152578, -1.026260, -0.491844, -0.758177, 0.142341, 28.897616, 22.651034, 26.767460
ago, 1974, 1318082000.000000, -1.140025, -0.993830, -0.518516, -0.629258, 0.158262, 23.598380, 20.145922, 18.803644
ago, 1975, 936345000.000000, -1.244881, -1.002921, -0.582860, -0.909185, 0.145721, 22.418331, 19.384959, 24.090297
ago, 1976, 498015000.000000, -1.376672, -1.097993, -0.628157, -0.850592, 0.091719, 20.103072, 18.028727, 19.937868
ago, 1977, 465967000.000000, -1.545063, -1.288158, -0.657353, -1.020821, 0.046744, 22.358268, 19.539407, 20.787196
ago, 1978, 437758000.000000, -1.435994, -1.211705, -0.638115, -1.573478, 0.018081, 22.330227, 20.365857, 8.162420
ago, 1979, 642333000.000000, -1.483503, -1.577219, -0.638506, -2.068105, 0.010624, 22.983200, 20.980849, 12.337430
ago, 1980, 1056949000.000000, -1.435571, -1.575057, -0.656495, -2.161803, 0.008529, 23.659007, 21.429358, 16.223528
ago, 1981, 1493118000.000000, -1.709150, -1.572976, -0.659279, -2.342037, 0.007889, 22.448657, 20.542082, 10.592258
ago, 1982, 1383838000.000000, -1.768655, -1.288334, -0.677684, -3.916520, 0.008164, 23.950918, 21.782952, 15.486168
ago, 1983, 1445936000.000000, -2.014428, -1.257773, -0.662314, NaN, 0.006871, 23.151305, 21.295777, 13.837643
ago, 1984, 1622291739.000000, -1.949707, -0.961670, -0.597733, NaN, 0.009955, 20.843465, 19.328418, 10.995792
ago, 1985, 1762725308.000000, -1.785208, -0.930796, -0.571058, NaN, 0.007747, 22.528535, 21.129668, 11.505026
ago, 1986, 1307196950.000000, -1.822004, -0.681506, -0.540358, NaN, 0.009323, 39.851413, 36.919885, 19.223243
ago, 1987, 1865292685.000000, -1.261810, -0.548823, -0.575304, NaN, 0.012724, 40.540088, 37.947138, 22.805638
ago, 1988, 2410829822.000000, -1.695204, -0.754368, -0.593255, -2.996811, 0.013313, 41.977241, 38.470087, 26.626051
ago, 1989, 2856921421.000000, -1.270926, -0.795805, -0.608592, -3.705057, 0.013042, 42.286477, 38.549943, 27.771996
ago, 1990, 3719657344.000000, -1.676353, -0.970535, -0.649971, NaN, 0.011134, 43.295904, 40.292251, 27.300025
ago, 1991, 2965221053.000000, -2.006793, -0.890007, -0.638951, NaN, 0.009985, 43.581363, 41.141254, 26.622099
ago, 1992, 3428351853.000000, -2.040180, -0.930242, -0.692806, NaN, 0.012265, 50.556773, 50.239966, 33.405442
ago, 1993, 3014337912.000000, -1.469626, -1.025462, -0.740797, NaN, 0.011138, 54.853810, 55.341447, 40.138319
ago, 1994, 2873486993.000000, -1.262235, -1.193083, -0.770838, NaN, 0.009112, 54.538198, 54.312978, 41.642731
ago, 1995, 3270493388.000000, -1.705035, -1.057322, -0.769085, NaN, 0.009659, 55.619941, 54.247603, 42.595914
ago, 1996, 4222072934.000000, -1.758143, -1.012720, -0.808682, NaN, 0.009556, 54.667698, 52.815164, 43.547362
ago, 1997, 3146837000.000000, -1.791750, -0.928505, -0.838517, NaN, 0.010907, 55.387734, 54.074341, 45.927719
ago, 1998, 3146837000.000000, -1.601659, -0.991965, -0.832820, NaN, 0.009988, 54.349440, 52.681104, 43.669870
ago, 1999, 4054484975.000000, -1.613254, -1.116757, -0.830211, -3.825013, 0.009316, 51.436023, 50.115261, 42.308194
ago, 2000, 7134705975.000000, -1.673667, -1.259691, -0.812219, -4.338474, 0.009019, 59.716113, 57.623357, 47.153481
ago, 2001, 5654350063.000000, -1.714433, -1.397741, -0.828711, NaN, 0.007982, 60.302020, 58.585716, 49.250733
